Komoditas (Rp),Tanggal,Harga,Wilayah,Lag_1,Lag_3,Lag_7,MA_7,MA_30,Price_Diff,Price_Change,Tahun,Bulan,Hari
Bawang Merah Ukuran Sedang,2024-02-12,36750.0,palembang,36250.0,36250.0,35250.0,36178.57142857143,37935.0,500.0,0.01379310344827589,2024,2,0
Bawang Merah Ukuran Sedang,2024-02-13,36750.0,palembang,36750.0,36250.0,35250.0,36392.857142857145,37730.0,0.0,0.0,2024,2,1
Bawang Merah Ukuran Sedang,2024-02-14,36750.0,palembang,36750.0,36250.0,36250.0,36464.28571428572,37525.0,0.0,0.0,2024,2,2
Bawang Merah Ukuran Sedang,2024-02-15,36750.0,palembang,36750.0,36750.0,36250.0,36535.71428571428,37325.0,0.0,0.0,2024,2,3
Bawang Merah Ukuran Sedang,2024-02-16,36750.0,palembang,36750.0,36750.0,36250.0,36607.142857142855,37125.0,0.0,0.0,2024,2,4
Bawang Merah Ukuran Sedang,2024-02-19,40000.0,palembang,36750.0,36750.0,36250.0,37142.857142857145,37075.0,3250.0,0.08843537414965996,2024,2,0
Bawang Merah Ukuran Sedang,2024-02-20,41250.0,palembang,40000.0,36750.0,36250.0,37857.142857142855,37066.666666666664,1250.0,0.03125,2024,2,1
Bawang Merah Ukuran Sedang,2024-02-21,38750.0,palembang,41250.0,36750.0,36750.0,38142.857142857145,36975.0,-2500.0,-0.06060606060606055,2024,2,2
Bawang Merah Ukuran Sedang,2024-02-22,40000.0,palembang,38750.0,40000.0,36750.0,38607.142857142855,36925.0,1250.0,0.032258064516129004,2024,2,3
Bawang Merah Ukuran Sedang,2024-02-23,41250.0,palembang,40000.0,41250.0,36750.0,39250.0,36916.666666666664,1250.0,0.03125,2024,2,4
Bawang Merah Ukuran Sedang,2024-02-26,38750.0,palembang,41250.0,38750.0,36750.0,39535.71428571428,36933.333333333336,-2500.0,-0.06060606060606055,2024,2,0
Bawang Merah Ukuran Sedang,2024-02-27,38750.0,palembang,38750.0,40000.0,36750.0,39821.42857142857,36950.0,0.0,0.0,2024,2,1
Bawang Merah Ukuran Sedang,2024-02-28,38750.0,palembang,38750.0,41250.0,40000.0,39642.857142857145,37025.0,0.0,0.0,2024,2,2
Bawang Merah Ukuran Sedang,2024-02-29,38750.0,palembang,38750.0,38750.0,41250.0,39285.71428571428,37100.0,0.0,0.0,2024,2,3
Bawang Merah Ukuran Sedang,2024-03-01,38750.0,palembang,38750.0,38750.0,38750.0,39285.71428571428,37183.333333333336,0.0,0.0,2024,3,4
Bawang Merah Ukuran Sedang,2024-03-04,40000.0,palembang,38750.0,38750.0,40000.0,39285.71428571428,37308.333333333336,1250.0,0.032258064516129004,2024,3,0
Bawang Merah Ukuran Sedang,2024-03-05,40000.0,palembang,40000.0,38750.0,41250.0,39107.142857142855,37433.333333333336,0.0,0.0,2024,3,1
Bawang Merah Ukuran Sedang,2024-03-06,40000.0,palembang,40000.0,38750.0,38750.0,39285.71428571428,37558.333333333336,0.0,0.0,2024,3,2
Bawang Merah Ukuran Sedang,2024-03-07,40000.0,palembang,40000.0,40000.0,38750.0,39464.28571428572,37683.333333333336,0.0,0.0,2024,3,3
Bawang Merah Ukuran Sedang,2024-03-08,41250.0,palembang,40000.0,40000.0,38750.0,39821.42857142857,37891.666666666664,1250.0,0.03125,2024,3,4
Bawang Merah Ukuran Sedang,2024-03-11,41250.0,palembang,41250.0,40000.0,38750.0,40178.57142857143,38100.0,0.0,0.0,2024,3,0
Bawang Merah Ukuran Sedang,2024-03-12,41250.0,palembang,41250.0,40000.0,38750.0,40535.71428571428,38308.333333333336,0.0,0.0,2024,3,1
