Komoditas (Rp),Tanggal,Harga,Wilayah
Daging Ayam Ras Segar,2024-01-01,,palembang
Daging Ayam Ras Segar,2024-01-02,30500.0,palembang
Daging Ayam Ras Segar,2024-01-03,31000.0,palembang
Daging Ayam Ras Segar,2024-01-04,31000.0,palembang
Daging Ayam Ras Segar,2024-01-05,31000.0,palembang
Daging Ayam Ras Segar,2024-01-08,31250.0,palembang
Daging Ayam Ras Segar,2024-01-09,31250.0,palembang
Daging Ayam Ras Segar,2024-01-10,31000.0,palembang
Daging Ayam Ras Segar,2024-01-11,31000.0,palembang
Daging Ayam Ras Segar,2024-01-12,31000.0,palembang
Daging Ayam Ras Segar,2024-01-15,30750.0,palembang
Daging Ayam Ras Segar,2024-01-16,30750.0,palembang
Daging Ayam Ras Segar,2024-01-17,30500.0,palembang
Daging Ayam Ras Segar,2024-01-18,30500.0,palembang
Daging Ayam Ras Segar,2024-01-19,30000.0,palembang
Daging Ayam Ras Segar,2024-01-22,30250.0,palembang
Daging Ayam Ras Segar,2024-01-23,29500.0,palembang
Daging Ayam Ras Segar,2024-01-24,29500.0,palembang
Daging Ayam Ras Segar,2024-01-25,29500.0,palembang
Daging Ayam Ras Segar,2024-01-26,29250.0,palembang
Daging Ayam Ras Segar,2024-01-29,28750.0,palembang
Daging Ayam Ras Segar,2024-01-30,28750.0,palembang
Daging Ayam Ras Segar,2024-01-31,28500.0,palembang
Daging Ayam Ras Segar,2024-02-01,28500.0,palembang
Daging Ayam Ras Segar,2024-02-02,29000.0,palembang
Daging Ayam Ras Segar,2024-02-05,31500.0,palembang
Daging Ayam Ras Segar,2024-02-06,31900.0,palembang
Daging Ayam Ras Segar,2024-02-07,31900.0,palembang
Daging Ayam Ras Segar,2024-02-08,31900.0,palembang
Daging Ayam Ras Segar,2024-02-09,31900.0,palembang
Daging Ayam Ras Segar,2024-02-12,33000.0,palembang
Daging Ayam Ras Segar,2024-02-13,33500.0,palembang
Daging Ayam Ras Segar,2024-02-14,33500.0,palembang
Daging Ayam Ras Segar,2024-02-15,33750.0,palembang
Daging Ayam Ras Segar,2024-02-16,34250.0,palembang
Daging Ayam Ras Segar,2024-02-19,34500.0,palembang
Daging Ayam Ras Segar,2024-02-20,34500.0,palembang
Daging Ayam Ras Segar,2024-02-21,34500.0,palembang
Daging Ayam Ras Segar,2024-02-22,34500.0,palembang
Daging Ayam Ras Segar,2024-02-23,34250.0,palembang
Daging Ayam Ras Segar,2024-02-26,34500.0,palembang
Daging Ayam Ras Segar,2024-02-27,34500.0,palembang
Daging Ayam Ras Segar,2024-02-28,35250.0,palembang
Daging Ayam Ras Segar,2024-02-29,35250.0,palembang
Daging Ayam Ras Segar,2024-03-01,35500.0,palembang
Daging Ayam Ras Segar,2024-03-04,36500.0,palembang
Daging Ayam Ras Segar,2024-03-05,36500.0,palembang
Daging Ayam Ras Segar,2024-03-06,37250.0,palembang
Daging Ayam Ras Segar,2024-03-07,37250.0,palembang
Daging Ayam Ras Segar,2024-03-08,37750.0,palembang
Daging Ayam Ras Segar,2024-03-11,37750.0,palembang
Daging Ayam Ras Segar,2024-03-12,37750.0,palembang
Daging Ayam Ras Segar,2024-03-13,37000.0,palembang
Daging Ayam Ras Segar,2024-03-14,37000.0,palembang
Daging Ayam Ras Segar,2024-03-15,36000.0,palembang
Daging Ayam Ras Segar,2024-03-18,34000.0,palembang
Daging Ayam Ras Segar,2024-03-19,34000.0,palembang
Daging Ayam Ras Segar,2024-03-20,33750.0,palembang
Daging Ayam Ras Segar,2024-03-21,34000.0,palembang
Daging Ayam Ras Segar,2024-03-22,33000.0,palembang
Daging Ayam Ras Segar,2024-03-25,33250.0,palembang
Daging Ayam Ras Segar,2024-03-26,33000.0,palembang
Daging Ayam Ras Segar,2024-03-27,33250.0,palembang
Daging Ayam Ras Segar,2024-03-28,33250.0,palembang
Daging Ayam Ras Segar,2024-03-29,33250.0,palembang
Daging Ayam Ras Segar,2024-04-01,33500.0,palembang
Daging Ayam Ras Segar,2024-04-02,33500.0,palembang
Daging Ayam Ras Segar,2024-04-03,33750.0,palembang
Daging Ayam Ras Segar,2024-04-04,33750.0,palembang
Daging Ayam Ras Segar,2024-04-05,36500.0,palembang
Daging Ayam Ras Segar,2024-04-08,36500.0,palembang
Daging Ayam Ras Segar,2024-04-09,36500.0,palembang
Daging Ayam Ras Segar,2024-04-10,36500.0,palembang
Daging Ayam Ras Segar,2024-04-11,36500.0,palembang
Daging Ayam Ras Segar,2024-04-12,36500.0,palembang
Daging Ayam Ras Segar,2024-04-15,36500.0,palembang
Daging Ayam Ras Segar,2024-04-16,36000.0,palembang
Daging Ayam Ras Segar,2024-04-17,36250.0,palembang
Daging Ayam Ras Segar,2024-04-18,35250.0,palembang
Daging Ayam Ras Segar,2024-04-19,34750.0,palembang
Daging Ayam Ras Segar,2024-04-22,34500.0,palembang
Daging Ayam Ras Segar,2024-04-23,33750.0,palembang
Daging Ayam Ras Segar,2024-04-24,33500.0,palembang
Daging Ayam Ras Segar,2024-04-25,33500.0,palembang
Daging Ayam Ras Segar,2024-04-26,33000.0,palembang
Daging Ayam Ras Segar,2024-04-29,32250.0,palembang
Daging Ayam Ras Segar,2024-04-30,32750.0,palembang
Daging Ayam Ras Segar,2024-05-01,32750.0,palembang
Daging Ayam Ras Segar,2024-05-02,33750.0,palembang
Daging Ayam Ras Segar,2024-05-03,33000.0,palembang
Daging Ayam Ras Segar,2024-05-06,34750.0,palembang
Daging Ayam Ras Segar,2024-05-07,34500.0,palembang
Daging Ayam Ras Segar,2024-05-08,34500.0,palembang
Daging Ayam Ras Segar,2024-05-09,34500.0,palembang
Daging Ayam Ras Segar,2024-05-10,34500.0,palembang
Daging Ayam Ras Segar,2024-05-13,35000.0,palembang
Daging Ayam Ras Segar,2024-05-14,35500.0,palembang
Daging Ayam Ras Segar,2024-05-15,35000.0,palembang
Daging Ayam Ras Segar,2024-05-16,34750.0,palembang
Daging Ayam Ras Segar,2024-05-17,34500.0,palembang
Daging Ayam Ras Segar,2024-05-20,33750.0,palembang
Daging Ayam Ras Segar,2024-05-21,33500.0,palembang
Daging Ayam Ras Segar,2024-05-22,33250.0,palembang
Daging Ayam Ras Segar,2024-05-23,33250.0,palembang
Daging Ayam Ras Segar,2024-05-24,33250.0,palembang
Daging Ayam Ras Segar,2024-05-27,33750.0,palembang
Daging Ayam Ras Segar,2024-05-28,33750.0,palembang
Daging Ayam Ras Segar,2024-05-29,33500.0,palembang
Daging Ayam Ras Segar,2024-05-30,33750.0,palembang
Daging Ayam Ras Segar,2024-05-31,33500.0,palembang
Daging Ayam Ras Segar,2024-06-03,32750.0,palembang
Daging Ayam Ras Segar,2024-06-04,33000.0,palembang
Daging Ayam Ras Segar,2024-06-05,33250.0,palembang
Daging Ayam Ras Segar,2024-06-06,33000.0,palembang
Daging Ayam Ras Segar,2024-06-07,31500.0,palembang
Daging Ayam Ras Segar,2024-06-10,31250.0,palembang
Daging Ayam Ras Segar,2024-06-11,31000.0,palembang
Daging Ayam Ras Segar,2024-06-12,31500.0,palembang
Daging Ayam Ras Segar,2024-06-13,31750.0,palembang
Daging Ayam Ras Segar,2024-06-14,32750.0,palembang
Daging Ayam Ras Segar,2024-06-17,32750.0,palembang
Daging Ayam Ras Segar,2024-06-18,32750.0,palembang
Daging Ayam Ras Segar,2024-06-19,34500.0,palembang
Daging Ayam Ras Segar,2024-06-20,34500.0,palembang
Daging Ayam Ras Segar,2024-06-21,36000.0,palembang
Daging Ayam Ras Segar,2024-06-24,35500.0,palembang
Daging Ayam Ras Segar,2024-06-25,35750.0,palembang
Daging Ayam Ras Segar,2024-06-26,35750.0,palembang
Daging Ayam Ras Segar,2024-06-27,35000.0,palembang
